company,folder_name,total_articles,incident_count,raw_incident_risk_score,environmental_articles,environmental_risk,social_articles,social_risk,governance_articles,governance_risk,final_weighted_esg_score,article_age_days_avg,article_age_days_environmental_avg,article_age_days_social_avg,article_age_days_governance_avg,time_weight_avg,time_weight_environmental_avg,time_weight_social_avg,time_weight_governance_avg,severity_avg,severity_environmental_avg,severity_social_avg,severity_governance_avg,environmental_weight,social_weight,governance_weight,environmental_raw_score,social_raw_score,governance_raw_score,raw_score,environmental_weighted_score,social_weighted_score,governance_weighted_score,final_walk_esg_risk,data_coverage_flag,final_walk_esg_score
SUMITOMO CHEMICAL INDIA LTD,SUMITOMO_CHEMICAL_INDIA_LTD,6,4,10.0717,4,0.0344,0,0.0,2,10.0373,2.6248,767.83,1113.5,0.0,76.5,0.3684,0.1471,0.0,0.8109,1.8333,1.25,0.0,3.0,0.44,0.31,0.26,0.0344,0.0,10.0373,10.0717,0.0151,0.0,2.6097,2.6248,incidents_found,2.6248
SUN PHARMACEUTICAL INDUS,SUN_PHARMACEUTICAL_INDUS,10,9,6.1174,2,0.5663,1,0.1164,7,5.4347,1.6983,602.7,389.0,933.0,616.57,0.2806,0.5091,0.0776,0.2442,2.5,2.0,1.5,2.7857,0.44,0.31,0.26,0.5663,0.1164,5.4347,6.1174,0.2492,0.0361,1.413,1.6983,incidents_found,1.6983
SUN TV NETWORK LTD,SUN_TV_NETWORK_LTD,1,1,3.1366,0,0.0,0,0.0,1,3.1366,0.8155,273.0,0.0,0.0,273.0,0.4733,0.0,0.0,0.4733,3.0,0.0,0.0,3.0,0.44,0.31,0.26,0.0,0.0,3.1366,3.1366,0.0,0.0,0.8155,0.8155,incidents_found,0.8155
SUNDARAM FINANCE LTD,SUNDARAM_FINANCE_LTD,1,1,1.218,1,1.218,0,0.0,0,0.0,0.5359,76.0,76.0,0.0,0.0,0.812,0.812,0.0,0.0,1.5,1.5,0.0,0.0,0.44,0.31,0.26,1.218,0.0,0.0,1.218,0.5359,0.0,0.0,0.5359,incidents_found,0.5359
SUNDRAM FASTENERS LTD,SUNDRAM_FASTENERS_LTD,1,1,0.9972,0,0.0,0,0.0,1,0.9972,0.2593,149.0,0.0,0.0,149.0,0.6648,0.0,0.0,0.6648,1.5,0.0,0.0,1.5,0.44,0.31,0.26,0.0,0.0,0.9972,0.9972,0.0,0.0,0.2593,0.2593,incidents_found,0.2593
SUPREME INDUSTRIES LTD,SUPREME_INDUSTRIES_LTD,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.31,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_reported_incidents,0.0
SUZLON ENERGY LTD,SUZLON_ENERGY_LTD,6,3,2.161,2,0.0,2,0.8439,2,1.3171,0.6041,91.83,39.5,34.0,202.0,0.7972,0.8975,0.9111,0.583,1.25,1.0,1.25,1.5,0.44,0.31,0.26,0.0,0.8439,1.3171,2.161,0.0,0.2616,0.3425,0.6041,incidents_found,0.6041
SWAN CORP LTD,SWAN_CORP_LTD,16,12,26.1005,7,3.6342,2,2.9089,7,19.5575,7.5857,364.56,560.71,398.0,158.86,0.4735,0.3371,0.3366,0.6489,2.4062,1.9286,3.0,2.7143,0.44,0.31,0.26,3.6342,2.9089,19.5575,26.1005,1.599,0.9017,5.0849,7.5857,incidents_found,7.5857
SWIGGY LTD,SWIGGY_LTD,13,10,13.8891,1,0.0103,7,12.1247,5,1.7542,4.2193,596.69,2338.0,500.29,383.4,0.4131,0.0017,0.4859,0.3936,2.1923,3.0,2.3571,1.8,0.44,0.31,0.26,0.0103,12.1247,1.7542,13.8891,0.0045,3.7586,0.4561,4.2193,incidents_found,4.2193
SYNGENE INTERNATIONAL LTD,SYNGENE_INTERNATIONAL_LTD,4,3,4.4353,1,0.0,0,0.0,3,4.4353,1.1532,177.5,86.0,0.0,208.0,0.6434,0.7901,0.0,0.5944,1.75,1.0,0.0,2.0,0.44,0.31,0.26,0.0,0.0,4.4353,4.4353,0.0,0.0,1.1532,1.1532,incidents_found,1.1532
SYRMA SGS TECHNOLOGY LTD,SYRMA_SGS_TECHNOLOGY_LTD,4,1,0.9312,1,0.0,2,0.0,1,0.9312,0.2421,139.0,146.0,118.0,174.0,0.6848,0.6703,0.7241,0.6208,1.125,1.0,1.0,1.5,0.44,0.31,0.26,0.0,0.0,0.9312,0.9312,0.0,0.0,0.2421,0.2421,incidents_found,0.2421
TATA CHEMICALS LTD,TATA_CHEMICALS_LTD,9,5,3.4575,6,0.3749,1,0.0129,2,3.0697,0.9671,617.44,572.67,1829.0,146.0,0.3647,0.3223,0.0067,0.6711,1.4444,1.1667,1.5,2.25,0.44,0.31,0.26,0.3749,0.0129,3.0697,3.4575,0.165,0.004,0.7981,0.9671,incidents_found,0.9671
TATA COMMUNICATIONS LTD,TATA_COMMUNICATIONS_LTD,4,0,0.0,4,0.0,0,0.0,0,0.0,0.0,431.25,431.25,0.0,0.0,0.443,0.443,0.0,0.0,1.0,1.0,0.0,0.0,0.44,0.31,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_negative_incidents_found,0.0
TATA CONSULTANCY SVCS LTD,TATA_CONSULTANCY_SVCS_LTD,21,18,15.7864,7,4.5703,7,8.3542,7,2.8619,5.3448,496.33,314.0,257.86,917.14,0.4225,0.5421,0.5231,0.2023,2.0,1.5714,1.7143,2.7143,0.44,0.31,0.26,4.5703,8.3542,2.8619,15.7864,2.0109,2.5898,0.7441,5.3448,incidents_found,5.3448
TATA CONSUMER PRODUCTS LTD,TATA_CONSUMER_PRODUCTS_LTD,5,2,0.449,4,0.449,0,0.0,1,0.0,0.1976,559.0,471.75,0.0,908.0,0.2533,0.2959,0.0,0.0831,1.2,1.25,0.0,1.0,0.44,0.31,0.26,0.449,0.0,0.0,0.449,0.1976,0.0,0.0,0.1976,incidents_found,0.1976
